# name, allowedP, trueP, n, [sentinel], time
hpce.direct_fourier_transform_parfor, 8, 8, 16, 4.9362, 0.000245377
hpce.direct_fourier_transform_parfor, 8, 8, 19, 1.90936, 0.000121755
hpce.direct_fourier_transform_parfor, 8, 8, 22, 3.30978, 5.03815e-005
hpce.direct_fourier_transform_parfor, 8, 8, 26, 2.05117, 5.69125e-005
hpce.direct_fourier_transform_parfor, 8, 8, 32, 2.81322, 8.30363e-005
hpce.direct_fourier_transform_parfor, 8, 8, 38, 7.30988, 0.000112425
hpce.direct_fourier_transform_parfor, 8, 8, 45, 4.15291, 0.000158142
hpce.direct_fourier_transform_parfor, 8, 8, 53, 7.86272, 0.000165606
hpce.direct_fourier_transform_parfor, 8, 8, 64, 14.1985, 0.000221119
hpce.direct_fourier_transform_parfor, 8, 8, 76, 1.9669, 0.000407717
hpce.direct_fourier_transform_parfor, 8, 8, 90, 10.4565, 0.00041005
hpce.direct_fourier_transform_parfor, 8, 8, 107, 5.99665, 0.000697411
hpce.direct_fourier_transform_parfor, 8, 8, 128, 5.53084, 0.000937657
hpce.direct_fourier_transform_parfor, 8, 8, 152, 9.49119, 0.00121662
hpce.direct_fourier_transform_parfor, 8, 8, 181, 11.4613, 0.00185199
hpce.direct_fourier_transform_parfor, 8, 8, 215, 10.0363, 0.00251861
hpce.direct_fourier_transform_parfor, 8, 8, 256, 4.86155, 0.0036424
hpce.direct_fourier_transform_parfor, 8, 8, 304, 26.5967, 0.00490614
hpce.direct_fourier_transform_parfor, 8, 8, 362, 5.9164, 0.0065468
hpce.direct_fourier_transform_parfor, 8, 8, 430, 24.2105, 0.00989391
hpce.direct_fourier_transform_parfor, 8, 8, 512, 10.1029, 0.0156901
hpce.direct_fourier_transform_parfor, 8, 8, 608, 21.7493, 0.0197113
hpce.direct_fourier_transform_parfor, 8, 8, 724, 10.1883, 0.0229586
hpce.direct_fourier_transform_parfor, 8, 8, 861, 16.774, 0.0312529
hpce.direct_fourier_transform_parfor, 8, 8, 1024, 19.7117, 0.0485645
hpce.direct_fourier_transform_parfor, 8, 8, 1217, 47.6543, 0.0636855
hpce.direct_fourier_transform_parfor, 8, 8, 1448, 31.9429, 0.0896325
hpce.direct_fourier_transform_parfor, 8, 8, 1722, 27.495, 0.127601
hpce.direct_fourier_transform_parfor, 8, 8, 2048, 14.2226, 0.183383
hpce.direct_fourier_transform_parfor, 8, 8, 2435, 41.0111, 0.258406
hpce.direct_fourier_transform_parfor, 8, 8, 2896, 55.9844, 0.400283
hpce.direct_fourier_transform_parfor, 8, 8, 3444, 42.7607, 0.517613
hpce.direct_fourier_transform_parfor, 8, 8, 4096, 27.2928, 0.68836
hpce.direct_fourier_transform_parfor, 8, 8, 4870, 31.5261, 0.976037
hpce.direct_fourier_transform_parfor, 8, 8, 5792, 67.0575, 1.34174
hpce.direct_fourier_transform_parfor, 8, 8, 6888, 42.8288, 1.83319
