# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 16, 4.9362, 0.000191263
hpce.fast_fourier_transform, 8, 8, 19, 1.60788, 0.000109627
hpce.fast_fourier_transform, 8, 8, 22, 2.40711, 0.000114758
hpce.fast_fourier_transform, 8, 8, 26, 1.26226, 9.98301e-005
hpce.fast_fourier_transform, 8, 8, 32, 2.81322, 0.000102163
hpce.fast_fourier_transform, 8, 8, 38, 6.15568, 0.000173536
hpce.fast_fourier_transform, 8, 8, 45, 2.95318, 0.000172137
hpce.fast_fourier_transform, 8, 8, 53, 4.7473, 0.00019966
hpce.fast_fourier_transform, 8, 8, 64, 14.1985, 0.000229516
hpce.fast_fourier_transform, 8, 8, 76, 1.65633, 0.000361068
hpce.fast_fourier_transform, 8, 8, 90, 7.4357, 0.00035407
hpce.fast_fourier_transform, 8, 8, 107, 3.58678, 0.000424978
hpce.fast_fourier_transform, 8, 8, 128, 5.53084, 0.000466496
hpce.fast_fourier_transform, 8, 8, 152, 7.99258, 0.000747326
hpce.fast_fourier_transform, 8, 8, 181, 8.10526, 0.000742661
hpce.fast_fourier_transform, 8, 8, 215, 5.97507, 0.000871414
hpce.fast_fourier_transform, 8, 8, 256, 4.86155, 0.000929726
hpce.fast_fourier_transform, 8, 8, 304, 22.3973, 0.00146013
hpce.fast_fourier_transform, 8, 8, 362, 4.18397, 0.00146106
hpce.fast_fourier_transform, 8, 8, 430, 14.4137, 0.00173443
hpce.fast_fourier_transform, 8, 8, 512, 10.1029, 0.00185992
hpce.fast_fourier_transform, 8, 8, 608, 18.3152, 0.00305322
hpce.fast_fourier_transform, 8, 8, 724, 7.20496, 0.003105
hpce.fast_fourier_transform, 8, 8, 861, 9.97479, 0.00369465
hpce.fast_fourier_transform, 8, 8, 1024, 19.7117, 0.00405618
hpce.fast_fourier_transform, 8, 8, 1217, 40.097, 0.00648522
hpce.fast_fourier_transform, 8, 8, 1448, 22.5895, 0.00724515
hpce.fast_fourier_transform, 8, 8, 1722, 16.3501, 0.00841372
hpce.fast_fourier_transform, 8, 8, 2048, 14.2226, 0.0092786
